feature,importance
price_Close_ma_3_days,0.49537653
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/B (daily),0.1342433
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_IT (daily),0.13167343
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/B (daily)_lag_3,0.06975163
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/B (daily),0.05664287
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_IT (daily)_lag_3,0.047173914
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_KTTL (daily),0.027933514
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TSNNKT/TSNH (daily),0.017186709
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_CashR (daily),0.009645488
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/S (daily),0.002889474
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GROW_TTS (daily),0.0023669216
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_KTTL (daily)_lag_1,0.0022795955
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TSTC/TSCĐ (daily),0.0017904525
price_Close_ma_7_days,0.00094650895
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_NPT (daily)_lag_7,3.9009312e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_GROW_TTS (daily)_lag_5,2.1885597e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_TSCĐ/TTS (daily),2.117201e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GROW_VCSH (daily),1.755384e-05
